date,FISCAL_REV,FISCAL_EXP,GDP_REAL,GDP_DEFLATOR,CPI_HEADLINE,CPI_CORE,IP_EX_CONSTR,ORDERS_IND,RETAIL_SALES,CAR_REG,CAPU_MANU,YIELD_10Y
1991-01-01,,,,,60.5,,76.9,59.1,,352550.0,,
1991-02-01,,,,,60.6,,77.5,56.6,,379223.0,,
1991-03-01,139956.0,156272.0,69.06,,60.6,,85.1,57.6,,363962.0,88.7,
1991-04-01,,,,,60.9,,79.2,56.0,,348040.0,,
1991-05-01,,,,,60.9,,76.8,55.7,,383467.0,,
1991-06-01,151399.0,163094.0,69.83,,61.4,,83.1,56.6,,385354.0,88.1,
1991-07-01,,,,,61.9,,75.9,55.1,,513986.0,,
1991-08-01,,,,,62.2,,70.6,58.2,,216759.0,,
1991-09-01,162390.0,171436.0,70.63,,62.3,,81.8,55.3,,258492.0,86.9,
1991-10-01,,,,,63.5,,84.4,56.4,,292579.0,,
1991-11-01,,,,,63.7,,87.0,57.4,,317159.0,,
1991-12-01,185510.0,207789.0,72.56,65.4,63.7,,78.5,58.0,,299093.0,86.0,
1992-01-01,,,,,63.9,,76.2,57.5,,363044.0,,
1992-02-01,,,,,64.1,,78.4,57.6,,344720.0,,
1992-03-01,168366.0,179432.0,71.16,,64.3,,85.0,57.2,,327308.0,85.8,
1992-04-01,,,,,64.6,,79.4,55.4,,332935.0,,
1992-05-01,,,,,64.8,,77.1,54.2,,327400.0,,
1992-06-01,178765.0,182044.0,70.96,,65.0,,79.7,53.0,,316997.0,80.4,
1992-07-01,,,,,65.1,,73.6,51.9,,327268.0,,
1992-08-01,,,,,65.2,,69.7,52.4,,311987.0,,
1992-09-01,181246.0,195129.0,72.13,,65.3,,80.4,52.7,,297522.0,79.4,
1992-10-01,,,,,65.7,,81.3,49.7,,301682.0,,
1992-11-01,,,,,65.9,,81.7,50.3,,321477.0,,
1992-12-01,202088.0,232201.0,73.52,68.88,65.9,,72.7,51.3,,347275.0,77.6,
1993-01-01,,,,,66.8,,69.1,50.4,,274929.0,,
1993-02-01,,,,,67.1,,69.3,49.0,,269298.0,,
1993-03-01,175451.0,191276.0,69.48,,67.2,,77.0,48.0,,265444.0,76.4,
1993-04-01,,,,,67.6,,71.3,48.1,,292903.0,,
1993-05-01,,,,,67.6,,70.0,49.1,,262677.0,,
1993-06-01,187365.0,193337.0,70.39,,68.0,,72.7,48.3,,243382.0,76.0,
1993-07-01,,,,,68.0,,67.4,49.0,,262974.0,,
1993-08-01,,,,,68.2,,65.7,48.7,,267608.0,,
1993-09-01,184841.0,203230.0,71.79,,68.2,,76.0,50.7,,260981.0,76.0,
1993-10-01,,,,,68.5,,77.0,50.2,,261042.0,,
1993-11-01,,,,,68.6,,78.2,50.2,,257286.0,,
