date,REV_GG_TAX_TOTAL,REV_CG_TOTAL,EXP_CG_TOTAL,EXP_GG_SA_TOTAL,REV_GG_SA_TOTAL,IFO_BIZCLIMATE,GDP_DEFLATOR,GDP_REAL,HICP_TOTAL,IP_TOTAL,RETAIL_TURNOVER,AUTO_SALES,BUND_YIELD_10Y
1957-01-01,,,,,,,,,,,,,7.29
1957-02-01,,,,,,,,,,,,,7.39
1957-03-01,,,,,,,,,,,,,7.49
1957-04-01,,,,,,,,,,,,,7.39
1957-05-01,,,,,,,,,,,,,7.39
1957-06-01,,,,,,,,,,,,,7.39
1957-07-01,,,,,,,,,,,,,7.49
1957-08-01,,,,,,,,,,,,,7.59
1957-09-01,,,,,,,,,,,,,7.59
1957-10-01,,,,,,,,,,,,,7.69
1957-11-01,,,,,,,,,,,,,7.69
1957-12-01,,,,,,,,,,,,,7.69
1958-01-01,,,,,,,,,,,,,7.69
1958-02-01,,,,,,,,,,,,,7.49
1958-03-01,,,,,,,,,,,,,7.39
1958-04-01,,,,,,,,,,,,,7.39
1958-05-01,,,,,,,,,,,,,7.29
1958-06-01,,,,,,,,,,,,,7.09
1958-07-01,,,,,,,,,,,,,6.69
1958-08-01,,,,,,,,,,,,,6.49
1958-09-01,,,,,,,,,,,,,6.19
1958-10-01,,,,,,,,,,,,,5.99
1958-11-01,,,,,,,,,,,,,5.89
1958-12-01,,,,,,,,,,,,,5.89
1959-01-01,,,,,,,,,,,,,5.79
1959-02-01,,,,,,,,,,,,,5.59
1959-03-01,,,,,,,,,,,,,5.59
1959-04-01,,,,,,,,,,,,,5.59
1959-05-01,,,,,,,,,,,,,5.69
1959-06-01,,,,,,,,,,,,,5.69
1959-07-01,,,,,,,,,,,,,5.59
1959-08-01,,,,,,,,,,,,,5.49
1959-09-01,,,,,,,,,,,,,5.79
1959-10-01,,,,,,,,,,,,,5.99
1959-11-01,,,,,,,,,,,,,6.09
1959-12-01,,,,,,,,,,,,,6.19
1960-01-01,,,,,,,,,,,,,6.49
1960-02-01,,,,,,,,,,,,,6.39
1960-03-01,,,,,,,,,,,,,6.39
1960-04-01,,,,,,,,,,,,,6.39
1960-05-01,,,,,,,,,,,,,6.39
1960-06-01,,,,,,,,,,,,,6.59
1960-07-01,,,,,,,,,,,,,6.69
1960-08-01,,,,,,,,,,,,,6.49
1960-09-01,,,,,,,,,,,,,6.49
1960-10-01,,,,,,,,,,,,,6.29
1960-11-01,,,,,,,,,,,,,6.19
1960-12-01,,,,,,,,,,,,,6.19
1961-01-01,,,,,,,,,,,,,6.09
1961-02-01,,,,,,,,,,,,,5.99
1961-03-01,,,,,,,,,,,,,5.89
1961-04-01,,,,,,,,,,,,,5.69
1961-05-01,,,,,,,,,,,,,5.59
1961-06-01,,,,,,,,,,,,,5.59
1961-07-01,,,,,,,,,,,,,5.69
1961-08-01,,,,,,,,,,,,,5.89
1961-09-01,,,,,,,,,,,,,5.99
1961-10-01,,,,,,,,,,,,,5.99
1961-11-01,,,,,,,,,,,,,5.99
